dur=99.68s sr=16000
 t(s)   rms_dB  centroid_kHz  flatness  zcr
  0.0   -35.7        3.76    0.7827  0.954
  0.5   -13.4        1.83    0.3654  0.295
  1.0   -13.8        1.12    0.1756  0.251
  1.5   -13.3        2.99    0.5612  0.478
  2.0   -12.1        2.94    0.4908  0.490
  2.5   -12.4        2.42    0.3462  0.385
  3.0   -15.2        1.71    0.3523  0.284
  3.5   -18.4        1.95    0.4382  0.436
  4.0   -15.7        1.58    0.2626  0.266
  4.5   -23.6        3.64    0.7666  0.642
  5.0   -13.5        2.03    0.4336  0.275
  5.5   -16.9        1.59    0.3375  0.206
  6.0   -14.9        1.80    0.3799  0.330
  6.5   -14.7        2.16    0.4353  0.356
  7.0   -15.2        2.14    0.3890  0.220
  7.5   -15.4        2.97    0.6573  0.360
  8.0   -18.3        1.97    0.4888  0.290
  8.5   -29.0        3.53    0.7358  0.654
  9.0   -13.8        2.13    0.4708  0.300
  9.5   -19.0        1.47    0.3003  0.462
 10.0   -16.8        2.05    0.4827  0.285
 10.5   -18.9        1.73    0.3910  0.390
 11.0   -17.8        1.60    0.3650  0.187
 11.5   -23.8        2.78    0.6303  0.629
 12.0   -13.5        1.74    0.3604  0.446
 12.5   -16.7        1.69    0.3450  0.421
 13.0   -15.3        2.03    0.4287  0.252
 13.5   -16.4        1.45    0.2722  0.219
 14.0   -19.9        1.65    0.3539  0.273
 14.5   -10.1        1.88    0.4447  0.332
 15.0   -11.2        1.48    0.2807  0.178
 15.5   -12.7        2.92    0.3753  0.443
 16.0   -11.1        1.44    0.3089  0.118
 16.5   -10.6        2.94    0.5348  0.247
 17.0   -15.8        2.14    0.4354  0.293
 17.5   -19.3        3.61    0.5536  0.861
 18.0   -14.7        3.76    0.4193  0.382
 18.5   -15.3        1.55    0.2943  0.147
 19.0   -13.7        3.65    0.4382  0.428
 19.5   -17.1        1.96    0.4718  0.180
 20.0   -23.9        2.34    0.5119  0.541
 20.5   -13.2        1.49    0.3033  0.492
 21.0   -10.3        3.69    0.3722  0.294
 21.5   -12.8        1.61    0.3492  0.230
 22.0   -12.3        3.54    0.4231  0.586
 22.5   -11.2        2.25    0.3211  0.369
 23.0   -11.9        1.66    0.2819  0.141
 23.5   -27.7        2.78    0.6251  0.637
 24.0   -11.4        1.48    0.3266  0.177
 24.5   -14.7        1.55    0.2862  0.245
 25.0   -13.9        1.41    0.3026  0.149
 25.5   -17.4        1.44    0.3536  0.362
 26.0   -13.8        2.15    0.4174  0.303
 26.5   -14.6        1.82    0.4596  0.272
 27.0   -12.1        1.54    0.3337  0.271
 27.5   -10.6        1.92    0.3113  0.154
 28.0   -15.1        2.53    0.5723  0.542
 28.5   -14.4        1.91    0.4728  0.417
 29.0   -20.1        1.58    0.2985  0.353
 29.5   -13.4        1.55    0.3648  0.390
 30.0   -13.3        1.12    0.2020  0.203
 30.5   -12.3        2.12    0.4125  0.312
 31.0   -11.5        2.03    0.4197  0.209
 31.5   -12.0        1.34    0.2736  0.222
 32.0   -14.6        2.03    0.3919  0.315
 32.5   -12.3        1.46    0.3146  0.178
 33.0   -11.1        1.97    0.3101  0.359
 33.5   -14.4        1.42    0.2816  0.213
 34.0   -13.7        1.43    0.2983  0.199
 34.5   -12.4        1.76    0.3970  0.262
 35.0   -18.6        3.40    0.7413  0.624
 35.5   -11.9        1.56    0.2920  0.169
 36.0   -14.3        1.49    0.3329  0.146
 36.5   -13.1        1.79    0.3440  0.306
 37.0   -15.9        2.89    0.4607  0.547
 37.5   -13.3        2.27    0.3982  0.417
 38.0   -16.9        1.63    0.3500  0.545
 38.5   -13.7        2.13    0.3887  0.336
 39.0   -12.7        1.39    0.2630  0.156
 39.5   -13.1        1.56    0.2848  0.305
 40.0   -12.5        1.30    0.2054  0.276
 40.5   -13.2        1.93    0.3572  0.242
 41.0   -15.8        1.55    0.3257  0.281
 41.5   -13.3        1.32    0.3063  0.356
 42.0   -15.2        3.20    0.5041  0.644
 42.5   -14.1        1.46    0.3459  0.224
 43.0   -18.1        1.75    0.4201  0.265
 43.5   -16.1        1.55    0.3426  0.227
 44.0   -19.1        1.57    0.3321  0.154
 44.5   -18.9        1.61    0.2518  0.204
 45.0   -16.4        1.26    0.2481  0.103
 45.5   -15.6        1.19    0.2102  0.181
 46.0   -18.0        2.08    0.4571  0.217
 46.5   -17.8        4.31    0.5866  0.300
 47.0   -16.3        2.40    0.4261  0.566
 47.5   -13.1        3.82    0.4600  0.507
