  17 x  กันยายนกันไหมคะ
   5 x  ทุกคนเชือเรืองทฤษฎีเดือน
   4 x  กนยฎฏยนกน
   4 x  ทุกคนเชื่อเรื่องทฤษฎี เดือน
   3 x  ไห้มคี
   2 x  ทกคณ์เซอเรองทฤษฎีเดือน
   2 x  ยนกันไหมคะ
   2 x  ฤษฎเดอน
   2 x  ทุกคนเข้อเรองทฤษฎเดอน
   2 x  ษภเดอน
   2 x  นไหม่คืะ
   2 x  ไหมค๊ะ
   1 x  ๒๒ =2< | ) เม
   1 x  ง ๓กก ซัญา
   1 x  เน นไหมคะ
   1 x  น าทม” ย” -
   1 x  มณ -=- แล ๕ เม
   1 x  ซ1 5 .ฒญ ซฆ
   1 x  หอเรลหาษฎเตอน
   1 x  จต้, = ,ฒน# 4 6 . : ] ร
   1 x  กันขายนกินี ไหมคะ
   1 x  ป ร=๕ แ
   1 x  ว 1 . ๒”
   1 x  ๒ สซี 2 ., ” : ๕
   1 x  ไซ ๓ ๕
   1 x  ซะ % -- ตโซ
   1 x  ชื่อเรอ
   1 x  ทกคนูเช่
   1 x  ๆ ท แ 2 ๒ ว
   1 x  ะ แ. ญาน๕ อ- 5 2 - ห ท .ศ๑ซี | บ
   1 x  วภณ สาจ๑แยแอจแอแัณะภัออก ศศจ๐แรจ งแ สาลฉ แก
   1 x  ทกคนเขอเธองทอฤษภเดอน ์
   1 x  ๆ 9 กฑาณัดฟ ๕ณ์
   1 x  ะส์ (2#] ๓๑โหท ล /ส
   1 x  กนยขฎขนกนแหมคะ:
   1 x  ซ่ ละ | เซียจี - ๕
   1 x  ะก ล : ศด
   1 x  ถึ -” 20 ค ว “- ฆ
   1 x  เจจะ 2
   1 x  ๒ ซีสัตด
   1 x  ต. 2 ศัค่น
   1 x  กนยฎยนก
   1 x  ทหุมคะ
   1 x  กันขายนกันไห้มคะ
   1 x  เทกคคนเซอเธอ
   1 x  ทกคาเซอเรองทัฤษฎีเดือบร
   1 x  ส รณีสดรศาไหม่คะ” ) ด
   1 x  เทกคคนเซอแนรองท
   1 x  อฤษฎีเ
   1 x  นยฎฏยน
   1 x  ทกคานเชือเรืองทัฤัธีภิเดือน
   1 x  ๕ ล หณ์
   1 x  สถันยายนกันไห้มคะ
   1 x  เทกคคนเซอเรองท
   1 x  กนยฤยนกน
   1 x  พ รจจะ ค๒ฑ์
   1 x  เศทาน] | ป 1ก
   1 x  ส หส์ ห ต1 เดอน
   1 x  ร วป ด ฑ ซิทา ะ
   1 x  ต - ก์ลิ เซ กจอ
